track_id, artist, title, year, genre
T101, Southside Movement, I been watchin' you, 1973, Funk
T102, Cormega, American Beauty, 2001, Hip-hop
T103, The Avalanches, Since I left you, 2000, Hip-hop
T104, Lamont Dozier, Take off your make up, 1973, R&B/Soul
T108, Gary Numan, Films, 1979, Rock
T109, DJ Qbert, Eight, 1994, Hip-hop
T110, Ghostface Killah & RZA, The Grain, 2000, Hip-hop
T111, Rufus Thomas, Do the Funky Penguin, 1971, R&B/Soul
T112, Rufus Thomas, The Breakdown (part 2), 1971, R&B/Soul
T115, Salt-N-pepa, I desire, 1986, Hip-hop
T116, The Winstons, Amen Brother, 1969, R&B/Soul
T117, 7th Wonder, Daisy Lady, 1979, R&B/Soul
T118, Kanye West ft. Nas, Really Doe We Major, 2005, Hip-hop
T119, Orange Krush, Action, 1982, Funk
T121, LL Cool J, Breakthrough, 1987, Hip-hop
T144, Beastie Boys, Time to get Ill, 1986, Hip-hop
T145, Barry White, I'm gonna love you just a little more baby, 1973, R&B/Soul
T146, De La Soul, De la Orgee, 1989, Hip-hop
T147, Ras Kass, Rasassination, 1998, Hip-hop
T148, Johnny Pate, Shaft in Africa, 1973, R&B/Soul
T149, Jay-Z, Show me what you got, 2006, Hip-hop
T150, Cypress Hill, Real Estate, 1991, Hip-hop
T151, All The People, Cramp Your Style, 1972, R&B/Soul
T152, Nas, One Mic, 2001, Hip-hop
T153, Public Enemy, 911 is a Joke, 1990, Hip-hop
T154, Sound Experience, Devil with the bust, 1974, R&B/Soul
T157, Geto Boys, Fuck a War, 1991, Hip-hop
T160, Bobby Byrd, I Know You Got Soul, 1971, R&B/Soul
T162, Joe Tex, Papa Was Too, 1966, R&B/Soul
T163, Wu-Tang Clan, Wu-Tang Clan ain't nuthin ta F' wit, 1993, Hip-hop
T164, EPMD, Jane, 1988, Hip-hop
T166, Nikki D, Lettin' Off Steam, 1990, Hip-hop
T167, The Politicians, Free Your Mind, 1972, R&B/Soul
T172, 3rd Bass, Oval Office, 1989, Hip-hop
T173, Joe Quarterman & Free Soul, I'm gonna get you, 1974, R&B/Soul
T176, Beastie Boys, Egg man, 1989, Hip-hop
T177, Curtis Mayfield, Superfly, 1972, R&B/Soul
T178, Crucial conflict, Showdown, 1996, Hip-hop
T179, Beastie Boys, Brass Monkey, 1986, Hip-hop
T180, Wild Sugar, Bring it Here, 1981, Disco
T181, The Notorious B.I.G., Respect, 1994, Hip-hop
T182, KC & The Sunshine Band, I Get Lifted, 1975, R&B/Soul
T184, Nas, Get Down, 2002, Hip-hop
T185, The Blackbyrds, Rock Creek Park, 1975, R&B/Soul
T187, Erik B. & Rakim, I Know You Got Soul, 1987, Hip-hop
T189, NWA, Fuck the Police, 1988, Hip-hop
T190, Erik B. & Rakim, Lyrics of Fury, 1988, Hip-hop
T191, LL Cool J, Mama said knock you out, 1990, Hip-hop
T192, Public Enemy, Welcome to the Terrordome, 1989, Hip-hop
T193, Dyke & The Blazers, Let a woman be a woman let a man be a man, 1969, Funk
T199, James Brown, The Boss, 1973, R&B/Soul
